ticker,name,source,in_sh,in_sz
02009,金隅集团,sh,True,True
02013,微盟集团,sh,True,True
02015,理想汽车-W,sh,True,True
02016,浙商银行,sh,True,True
02018,瑞声科技,sh,True,True
02020,安踏体育,sh,True,True
02026,小马智行-W,sh,True,True
02038,富智康集团,sh,True,True
02039,中集集团,sh,True,True
02050,三花智控,sh,True,True
02057,中通快递-W,sh,True,True
02068,中铝国际,sh,True,True
02096,先声药业,sh,True,True
02097,蜜雪集团,sh,True,True
02099,中国黄金国际,sh,True,True
02128,中国联塑,sh,True,True
02145,上美股份,sh,True,True
02155,森松国际,sh,True,True
02157,乐普生物,sh,True,True
02158,医渡科技,sh,True,True
02162,康诺亚-B,sh,True,True
02171,科济药业-B,sh,True,True
02172,微创脑科学,sh,True,True
02186,绿叶制药,sh,True,True
02192,医脉通,sh,True,True
02196,复星医药,sh,True,True
02202,万科企业,sh,True,True
02208,金风科技,sh,True,True
02218,安德利果汁,sh,True,True
02228,晶泰控股,sh,True,True
02232,晶苑国际,sh,True,True
02233,西部水泥,sh,True,True
02238,广汽集团,sh,True,True
02252,微创机器人-B,sh,True,True
02255,海昌海洋公园,sh,True,True
02259,紫金黄金国际,sh,True,True
02268,药明合联,sh,True,True
02269,药明生物,sh,True,True
02273,固生堂,sh,True,True
02276,康耐特光学,sh,True,True
02282,美高梅中国,sh,True,True
02285,泉峰控股,sh,True,True
02291,心泰医疗,sh,True,True
02313,申洲国际,sh,True,True
02314,理文造纸,sh,True,True
02315,百奥赛图-B,sh,True,True
02318,中国平安,sh,True,True
02319,蒙牛乳业,sh,True,True
02328,中国财险,sh,True,True
02331,李宁,sh,True,True
02333,长城汽车,sh,True,True
02338,潍柴动力,sh,True,True
02343,太平洋航运,sh,True,True
02356,大新银行集团,sh,True,True
02357,中航科工,sh,True,True
02359,药明康德,sh,True,True
02367,巨子生物,sh,True,True
02378,保诚,sh,True,True
02380,中国电力,sh,True,True
02382,舜宇光学科技,sh,True,True
02386,中石化炼化工程,sh,True,True
02388,中银香港,sh,True,True
02400,心动公司,sh,True,True
02402,亿华通,sh,True,True
02410,同源康医药-B,sh,True,True
02419,德康农牧,sh,True,True
02423,贝壳-W,sh,True,True
02431,佑驾创新,sh,True,True
02432,越疆,sh,True,True
02460,华润饮料,sh,True,True
02465,龙蟠科技,sh,True,True
02473,喜相逢集团,sh,True,True
02476,胜宏科技,sh,True,True
02477,经纬天地,sh,True,True
02493,迈威生物-B,sh,True,True
02498,速腾聚创,sh,True,True
02506,讯飞医疗科技,sh,True,True
02507,西锐,sh,True,True
02510,德翔海运,sh,True,True
02513,智谱,sh,True,True
02517,锅圈,sh,True,True
02525,禾赛-W,sh,True,True
02533,黑芝麻智能,sh,True,True
02555,茶百道,sh,True,True
02556,迈富时,sh,True,True
02562,狮腾控股,sh,True,True
02565,派格生物医药-B,sh,True,True
02570,重塑能源,sh,True,True
02575,轩竹生物-B,sh,True,True
02577,英诺赛科,sh,True,True
02579,中伟新材,sh,True,True
02580,奥克斯电气,sh,True,True
02582,国富氢能,sh,True,True
02583,西普尼,sh,True,True
02586,多点数智,sh,True,True
02587,健康之路,sh,True,True
02588,中银航空租赁,sh,True,True
02589,沪上阿姨,sh,True,True
02590,极智嘉-W,sh,True,True
02591,银诺医药-B,sh,True,True
02595,劲方医药-B,sh,True,True
02600,中国铝业,sh,True,True
02601,中国太保,sh,True,True
02602,万物云,sh,True,True
02603,吉宏股份,sh,True,True
02607,上海医药,sh,True,True
02609,佰泽医疗,sh,True,True
02610,南山铝业国际,sh,True,True
02611,国泰海通,sh,True,True
02617,药捷安康-B,sh,True,True
02618,京东物流,sh,True,True
02627,中慧生物-B,sh,True,True
02628,中国人寿,sh,True,True
02629,MIRXES-B,sh,True,True
02631,天岳先进,sh,True,True
02635,诺比侃,sh,True,True
02637,海西新药,sh,True,True
02643,曹操出行,sh,True,True
02648,安井食品,sh,True,True
02650,挚达科技,sh,True,True
02652,长风药业,sh,True,True
02655,果下科技,sh,True,True
02656,健康160,sh,True,True
02659,宝济药业-B,sh,True,True
02661,轻松健康,sh,True,True
02665,图达通,sh,True,True
02666,环球医疗,sh,True,True
02669,中海物业,sh,True,True
02675,精锋医疗-B,sh,True,True
02676,纳芯微,sh,True,True
02685,量化派,sh,True,True
02687,卓越睿新,sh,True,True
02688,新奥能源,sh,True,True
02689,玖龙纸业,sh,True,True
02691,南华期货股份,sh,True,True
02692,兆威机电,sh,True,True
02698,乐舒适,sh,True,True
02701,国民技术,sh,True,True
02706,海致科技集团,sh,True,True
02714,牧原股份,sh,True,True
02715,埃斯顿,sh,True,True
